               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12535,            0.034943,             0.06721,          0.00043384,            0.040137,          0.00029891,          6.6774e-05,             0.10702,             0.02054,            0.060908,               0.091,               0.001,               0.001
                   1,             0.10506,            0.022892,            0.057533,           0.0012773,             0.33161,           0.0026367,          0.00058751,            0.090733,            0.016419,            0.051878,            0.081079,           0.0020792,           0.0020792
                   2,            0.087892,            0.023394,            0.049828,            0.026166,             0.35052,            0.060787,            0.013888,            0.080877,            0.015925,            0.043442,            0.071137,           0.0031366,           0.0031366
                   3,            0.076088,            0.024565,            0.042608,             0.43975,            0.066724,            0.042877,            0.011613,            0.075372,            0.016309,            0.037615,            0.061172,           0.0041723,           0.0041723
                   4,            0.069499,            0.023461,            0.037337,             0.42028,             0.22336,             0.14522,            0.038083,            0.069401,            0.015552,            0.030513,            0.051186,           0.0051862,           0.0051862
                   5,            0.068969,            0.023927,            0.030394,             0.38238,             0.29895,             0.20236,            0.054563,            0.069579,             0.01351,            0.022889,            0.041178,           0.0061782,           0.0061782
                   6,            0.068306,            0.020598,            0.024487,             0.44678,             0.38687,             0.28262,            0.079826,             0.07319,            0.012044,            0.017033,            0.031149,           0.0071486,           0.0071486
                   7,            0.068631,             0.01961,            0.019648,             0.53072,             0.32428,             0.26902,            0.084422,            0.074133,             0.01062,            0.014677,            0.021097,           0.0080971,           0.0080971
                   8,            0.068704,            0.018326,             0.01508,             0.49372,             0.41853,             0.44089,              0.1435,            0.066456,            0.011976,            0.010017,            0.011024,           0.0090238,           0.0090238
                   9,            0.067026,            0.016293,            0.011786,             0.43949,             0.51709,             0.43199,             0.13227,            0.070921,            0.011989,           0.0084395,            0.009109,            0.009109,            0.009109
                  10,            0.064751,            0.015559,            0.010092,             0.58189,             0.39323,             0.51227,             0.18374,            0.065658,            0.014693,           0.0077072,            0.009109,            0.009109,            0.009109
                  11,             0.06222,            0.015721,           0.0083773,             0.41342,             0.58708,             0.38156,             0.11639,            0.064568,            0.018116,            0.011854,             0.00901,             0.00901,             0.00901
                  12,            0.059738,             0.01462,           0.0067447,             0.52288,             0.36283,             0.32983,             0.11745,            0.067959,            0.043243,             0.01072,            0.008911,            0.008911,            0.008911
                  13,            0.058559,            0.014666,           0.0062948,             0.50175,             0.55368,             0.51487,             0.19799,            0.059972,            0.013812,           0.0057694,            0.008812,            0.008812,            0.008812
                  14,            0.057079,            0.014806,           0.0060934,             0.52951,             0.62981,             0.59034,             0.23929,            0.059885,            0.011047,           0.0049039,            0.008713,            0.008713,            0.008713
                  15,            0.054934,            0.014042,           0.0051982,             0.59188,             0.58731,             0.57586,             0.23099,             0.05694,            0.012655,           0.0047411,            0.008614,            0.008614,            0.008614
                  16,            0.054219,            0.013602,           0.0052902,             0.52219,             0.65292,             0.57585,             0.23877,            0.058471,             0.01024,           0.0075526,            0.008515,            0.008515,            0.008515
                  17,            0.051992,            0.013729,           0.0050919,             0.72291,              0.4998,             0.61561,             0.23687,            0.054841,           0.0095921,           0.0086107,            0.008416,            0.008416,            0.008416
                  18,            0.052598,            0.013945,           0.0051543,              0.6617,             0.66965,             0.64008,             0.26287,            0.052403,           0.0093983,           0.0076219,            0.008317,            0.008317,            0.008317
                  19,             0.05191,            0.013834,           0.0041891,             0.64719,             0.70741,             0.66366,             0.29113,            0.048735,           0.0086828,           0.0052227,            0.008218,            0.008218,            0.008218
                  20,            0.049052,            0.013745,           0.0042039,             0.58254,             0.74953,               0.658,              0.2925,            0.047783,           0.0084456,           0.0036188,            0.008119,            0.008119,            0.008119
                  21,            0.049506,            0.013557,           0.0035998,             0.64953,             0.67412,             0.66083,             0.27057,            0.052191,           0.0089558,           0.0050134,             0.00802,             0.00802,             0.00802
                  22,            0.048287,            0.013007,           0.0034235,             0.75355,             0.67666,             0.73924,             0.33829,            0.047704,           0.0085325,           0.0048742,            0.007921,            0.007921,            0.007921
                  23,            0.047206,            0.012782,           0.0034071,             0.75911,             0.75137,             0.77059,             0.30787,            0.048637,           0.0081012,           0.0036423,            0.007822,            0.007822,            0.007822
                  24,            0.045729,            0.012764,           0.0035396,              0.7866,             0.75649,             0.78239,             0.34175,            0.044377,           0.0084872,           0.0045725,            0.007723,            0.007723,            0.007723
                  25,            0.045154,            0.012183,            0.003322,             0.68818,              0.7575,             0.75788,             0.33044,            0.046743,           0.0079102,           0.0048425,            0.007624,            0.007624,            0.007624
                  26,            0.044531,            0.012796,            0.003167,             0.71859,             0.77203,             0.75428,             0.35007,            0.045021,           0.0076692,           0.0042648,            0.007525,            0.007525,            0.007525
                  27,             0.04452,            0.012642,           0.0032803,              0.7178,             0.74381,             0.75006,             0.33798,            0.047893,           0.0083643,            0.002834,            0.007426,            0.007426,            0.007426
                  28,            0.043513,            0.012025,           0.0028949,             0.70331,             0.59986,             0.65056,             0.27642,            0.050291,           0.0094067,           0.0081283,            0.007327,            0.007327,            0.007327
                  29,            0.043942,             0.01274,           0.0030842,             0.74467,             0.75247,             0.75361,             0.32669,            0.047315,           0.0085981,           0.0046081,            0.007228,            0.007228,            0.007228
                  30,            0.043045,            0.011566,           0.0034159,             0.68977,             0.77567,             0.76299,             0.36682,            0.044414,           0.0079798,           0.0028799,            0.007129,            0.007129,            0.007129
                  31,            0.042749,            0.011957,           0.0028579,             0.70714,             0.73982,             0.73031,             0.30067,             0.04723,           0.0088928,           0.0058538,             0.00703,             0.00703,             0.00703
                  32,            0.042698,            0.012757,           0.0029148,             0.72806,             0.72993,             0.69872,             0.32096,            0.047224,           0.0081819,           0.0039279,            0.006931,            0.006931,            0.006931
                  33,            0.042772,            0.012977,           0.0029196,             0.79821,             0.78565,             0.79044,             0.37351,            0.045589,           0.0080669,           0.0036299,            0.006832,            0.006832,            0.006832
                  34,            0.042238,            0.012106,           0.0023217,             0.83978,             0.82619,              0.8392,             0.37032,            0.042752,            0.007727,           0.0022646,            0.006733,            0.006733,            0.006733
                  35,             0.04078,            0.011949,            0.002397,             0.82963,             0.80479,             0.83575,              0.3964,            0.044891,            0.007963,           0.0026389,            0.006634,            0.006634,            0.006634
                  36,            0.041184,            0.012031,           0.0024576,             0.77537,             0.77118,             0.74289,             0.31068,             0.04791,           0.0082729,           0.0032789,            0.006535,            0.006535,            0.006535
                  37,            0.040202,            0.012001,           0.0023151,             0.82597,             0.80044,             0.80436,             0.37531,            0.046044,           0.0076862,           0.0021878,            0.006436,            0.006436,            0.006436
                  38,            0.039136,            0.011649,           0.0025713,             0.79001,             0.62406,             0.67823,             0.27565,            0.052692,           0.0081016,           0.0039289,            0.006337,            0.006337,            0.006337
                  39,            0.039127,            0.011814,           0.0024679,             0.83522,             0.80641,             0.81607,             0.35208,            0.046281,           0.0076513,           0.0032331,            0.006238,            0.006238,            0.006238
                  40,            0.039865,            0.011156,           0.0020573,             0.79968,             0.77948,             0.78031,             0.35016,            0.045615,           0.0077735,           0.0024124,            0.006139,            0.006139,            0.006139
                  41,            0.040018,            0.011809,           0.0022411,             0.80386,              0.7952,             0.80436,               0.364,            0.043977,            0.007714,           0.0023112,             0.00604,             0.00604,             0.00604
                  42,            0.038582,             0.01124,           0.0022058,             0.81348,             0.79365,             0.78904,               0.356,            0.045547,           0.0077842,           0.0022704,            0.005941,            0.005941,            0.005941
                  43,            0.038757,            0.011718,           0.0020406,              0.7647,             0.71439,             0.71768,             0.33925,            0.045658,           0.0081374,            0.003421,            0.005842,            0.005842,            0.005842
                  44,            0.038419,            0.011628,           0.0021142,             0.80812,             0.80199,             0.80349,             0.39324,            0.041826,           0.0080403,           0.0021968,            0.005743,            0.005743,            0.005743
                  45,            0.038296,             0.01178,           0.0020459,             0.82086,             0.69897,             0.73858,              0.3817,            0.044849,           0.0078535,           0.0042382,            0.005644,            0.005644,            0.005644
                  46,            0.037449,            0.011079,           0.0018114,             0.83136,             0.78996,             0.79377,             0.38627,            0.044311,           0.0075096,           0.0021628,            0.005545,            0.005545,            0.005545
                  47,            0.036819,            0.011204,           0.0021211,             0.75348,             0.77908,             0.78722,             0.36689,            0.044822,           0.0075637,           0.0030892,            0.005446,            0.005446,            0.005446
                  48,            0.036837,            0.011383,           0.0019843,             0.79038,             0.79816,             0.77253,             0.34901,            0.045748,           0.0078159,           0.0027545,            0.005347,            0.005347,            0.005347
                  49,            0.037103,            0.011213,           0.0020326,             0.81371,             0.76272,             0.76381,             0.39508,            0.044082,            0.007737,           0.0052869,            0.005248,            0.005248,            0.005248
                  50,            0.036044,            0.011348,           0.0017768,             0.79227,             0.77742,             0.78934,             0.38098,            0.045336,           0.0076789,           0.0029157,            0.005149,            0.005149,            0.005149
                  51,            0.035708,            0.011455,           0.0018746,             0.81624,              0.7483,             0.78943,             0.40125,            0.042717,           0.0080483,           0.0024573,             0.00505,             0.00505,             0.00505
                  52,             0.03689,            0.010998,           0.0016549,             0.76734,             0.73955,             0.76545,              0.3532,            0.043204,           0.0082933,            0.002488,            0.004951,            0.004951,            0.004951
                  53,            0.036647,            0.011142,           0.0017062,             0.82373,             0.82572,             0.81624,             0.41155,            0.041617,           0.0074138,           0.0020784,            0.004852,            0.004852,            0.004852
                  54,            0.035125,            0.011195,           0.0015896,             0.77325,             0.80542,             0.80836,             0.36642,            0.043712,           0.0077722,           0.0021882,            0.004753,            0.004753,            0.004753
                  55,            0.034692,            0.011161,           0.0017821,              0.8132,             0.81188,             0.79887,              0.3701,            0.041912,           0.0076175,           0.0021692,            0.004654,            0.004654,            0.004654
                  56,            0.034516,            0.010985,           0.0017633,             0.86319,             0.80906,             0.82288,             0.43409,            0.041236,           0.0074784,           0.0017283,            0.004555,            0.004555,            0.004555
                  57,             0.03379,            0.010936,            0.001582,             0.76571,             0.79552,             0.75855,             0.38104,            0.042834,           0.0073368,           0.0017445,            0.004456,            0.004456,            0.004456
                  58,            0.033903,            0.011271,           0.0018008,             0.82374,              0.8164,             0.83291,             0.41921,            0.042592,           0.0071219,           0.0024937,            0.004357,            0.004357,            0.004357
                  59,            0.034896,              0.0112,           0.0015335,             0.83215,             0.81369,             0.82321,             0.39178,            0.044634,           0.0072399,           0.0029918,            0.004258,            0.004258,            0.004258
                  60,            0.033273,            0.010964,           0.0013124,             0.85614,             0.81515,             0.82684,             0.40646,            0.044235,           0.0072575,           0.0027845,            0.004159,            0.004159,            0.004159
                  61,            0.033029,            0.010633,           0.0015533,             0.85953,             0.84886,             0.85276,             0.42191,            0.041587,           0.0073961,           0.0032523,             0.00406,             0.00406,             0.00406
                  62,            0.033023,            0.010474,           0.0013093,             0.83486,             0.79406,             0.82257,             0.40717,             0.04279,           0.0075149,           0.0019017,            0.003961,            0.003961,            0.003961
                  63,            0.033201,             0.01052,           0.0013721,             0.78529,             0.78844,              0.8073,             0.36781,             0.04478,           0.0080101,           0.0018787,            0.003862,            0.003862,            0.003862
                  64,            0.032575,            0.011027,           0.0013691,             0.82661,              0.7681,             0.80947,             0.38273,            0.044127,           0.0078099,           0.0017926,            0.003763,            0.003763,            0.003763
                  65,            0.031702,            0.010585,           0.0013502,             0.85186,             0.76311,             0.80528,             0.39709,            0.042852,           0.0079097,           0.0020264,            0.003664,            0.003664,            0.003664
                  66,            0.032035,            0.010454,           0.0011852,             0.80728,             0.79599,             0.81715,             0.41108,            0.041422,           0.0075389,           0.0014772,            0.003565,            0.003565,            0.003565
                  67,            0.031048,            0.010172,            0.001312,              0.8191,             0.80838,             0.80258,             0.41199,            0.040995,           0.0076205,           0.0014314,            0.003466,            0.003466,            0.003466
                  68,            0.030893,            0.010456,           0.0011626,              0.8396,              0.8329,             0.83283,             0.41264,            0.041547,           0.0074439,           0.0016077,            0.003367,            0.003367,            0.003367
                  69,            0.030997,            0.010192,           0.0011287,             0.81272,             0.81554,             0.82506,             0.40996,            0.041391,           0.0076698,           0.0012537,            0.003268,            0.003268,            0.003268
                  70,            0.031882,            0.010906,           0.0012884,             0.85514,             0.83024,             0.84689,             0.43214,            0.038589,           0.0078606,            0.001632,            0.003169,            0.003169,            0.003169
                  71,            0.030378,            0.010689,            0.001296,             0.86636,             0.82184,             0.84429,             0.41695,            0.040553,           0.0075277,           0.0014461,             0.00307,             0.00307,             0.00307
                  72,            0.031615,             0.01061,           0.0011069,             0.80996,             0.76298,             0.79366,             0.37972,            0.043286,           0.0075952,           0.0015476,            0.002971,            0.002971,            0.002971
                  73,            0.030876,            0.010534,           0.0012493,             0.84846,             0.80184,             0.81912,             0.41273,            0.040723,           0.0076363,           0.0016059,            0.002872,            0.002872,            0.002872
                  74,            0.029646,           0.0099884,           0.0010987,             0.84765,             0.85535,             0.83595,             0.41981,            0.040236,           0.0075379,           0.0017203,            0.002773,            0.002773,            0.002773
                  75,            0.029822,            0.010738,          0.00099176,             0.81785,             0.78789,             0.77501,             0.40865,            0.041194,           0.0079536,           0.0019341,            0.002674,            0.002674,            0.002674
