               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.040091,            0.011833,           0.0025314,             0.76064,             0.68543,             0.74813,             0.29147,            0.048026,           0.0082086,           0.0046466,            0.006535,            0.006535,            0.006535
                  37,            0.040235,            0.011682,           0.0023092,              0.8389,             0.69573,             0.75844,             0.35013,            0.044098,           0.0074078,           0.0037699,            0.006436,            0.006436,            0.006436
                  38,            0.039045,            0.011228,           0.0022359,             0.84745,             0.74419,             0.80085,             0.38079,            0.043663,           0.0078275,            0.004478,            0.006337,            0.006337,            0.006337
                  39,            0.039194,            0.011477,           0.0024521,              0.8275,             0.81172,             0.83205,             0.39207,            0.042769,           0.0071441,           0.0031083,            0.006238,            0.006238,            0.006238
                  40,             0.03925,            0.010936,           0.0022097,             0.84452,             0.79325,             0.80588,             0.38912,            0.043301,           0.0074115,           0.0032858,            0.006139,            0.006139,            0.006139
                  41,            0.039721,            0.011537,            0.002269,             0.83251,             0.73913,             0.77847,             0.35927,            0.047562,           0.0070199,           0.0028695,             0.00604,             0.00604,             0.00604
                  42,            0.038463,            0.010815,           0.0020768,             0.84547,             0.80201,             0.81853,             0.34049,            0.043613,            0.007358,           0.0028357,            0.005941,            0.005941,            0.005941
                  43,            0.037481,            0.011339,           0.0023445,             0.80015,             0.79211,             0.78622,             0.36479,            0.043872,           0.0074043,           0.0030669,            0.005842,            0.005842,            0.005842
                  44,            0.037967,              0.0114,           0.0025126,             0.85642,             0.73612,             0.74172,             0.37539,            0.043182,           0.0081177,            0.002483,            0.005743,            0.005743,            0.005743
                  45,            0.037086,            0.011436,           0.0019346,             0.85375,             0.74198,             0.76721,              0.3993,            0.043905,           0.0072696,           0.0027124,            0.005644,            0.005644,            0.005644
                  46,            0.037367,             0.01086,            0.001725,             0.82413,             0.72058,             0.76547,             0.34626,            0.045781,           0.0073601,           0.0024678,            0.005545,            0.005545,            0.005545
                  47,            0.036755,            0.011001,           0.0021487,              0.7855,              0.7714,             0.78357,             0.36443,            0.042936,           0.0074125,            0.002869,            0.005446,            0.005446,            0.005446
                  48,            0.036148,            0.010936,           0.0020141,             0.82187,             0.73234,             0.74555,             0.31381,            0.043165,           0.0078314,           0.0026892,            0.005347,            0.005347,            0.005347
                  49,            0.036529,            0.010923,            0.001951,             0.77731,             0.76791,             0.77765,             0.39191,            0.043624,           0.0074249,           0.0024178,            0.005248,            0.005248,            0.005248
                  50,             0.03575,            0.011001,            0.001705,             0.78782,             0.73405,             0.77631,             0.35353,            0.041384,           0.0075708,            0.002616,            0.005149,            0.005149,            0.005149
                  51,            0.035663,            0.011182,           0.0017597,             0.82169,             0.74495,              0.7639,             0.37616,            0.040871,           0.0075211,           0.0026601,             0.00505,             0.00505,             0.00505
                  52,            0.035988,            0.010738,           0.0018955,             0.82805,             0.73677,              0.7447,             0.32426,            0.045884,           0.0078028,           0.0041632,            0.004951,            0.004951,            0.004951
                  53,            0.036095,            0.010972,           0.0019432,             0.83329,             0.76778,             0.80645,              0.3673,            0.041065,           0.0071988,           0.0032116,            0.004852,            0.004852,            0.004852
                  54,            0.034919,            0.010911,           0.0016035,             0.85833,             0.77183,             0.79952,             0.33013,            0.045212,           0.0074758,           0.0026325,            0.004753,            0.004753,            0.004753
                  55,            0.034486,            0.010906,           0.0016839,             0.74961,             0.66888,             0.71847,             0.35102,             0.04303,           0.0070081,           0.0023181,            0.004654,            0.004654,            0.004654
                  56,            0.034347,            0.010824,           0.0014295,             0.84173,             0.80057,              0.8055,             0.39361,            0.041173,           0.0070764,           0.0023442,            0.004555,            0.004555,            0.004555
                  57,            0.033541,            0.010528,           0.0015026,             0.84093,             0.75378,             0.75986,             0.38064,            0.041943,           0.0073438,           0.0024458,            0.004456,            0.004456,            0.004456
                  58,            0.033631,            0.011046,           0.0015428,             0.76999,              0.7621,             0.74397,             0.39001,            0.041131,           0.0073122,            0.002616,            0.004357,            0.004357,            0.004357
                  59,            0.034382,            0.011066,           0.0015681,             0.86412,             0.79126,             0.80982,             0.40084,            0.040151,           0.0071731,           0.0026959,            0.004258,            0.004258,            0.004258
                  60,            0.033502,            0.010892,           0.0013959,             0.84302,             0.80275,             0.81213,             0.39506,            0.041272,           0.0072587,           0.0016024,            0.004159,            0.004159,            0.004159
                  61,            0.032635,            0.010471,           0.0017194,             0.85652,             0.78846,              0.8254,             0.42791,            0.040341,           0.0072769,           0.0017362,             0.00406,             0.00406,             0.00406
                  62,            0.033005,            0.010244,           0.0013909,             0.87476,             0.80594,             0.84407,             0.40308,            0.040682,           0.0073914,           0.0023075,            0.003961,            0.003961,            0.003961
                  63,            0.033609,            0.010375,           0.0013639,             0.87028,             0.77486,             0.80554,             0.34412,            0.043457,            0.007675,           0.0023876,            0.003862,            0.003862,            0.003862
                  64,            0.032821,            0.010844,            0.001498,             0.85567,             0.79028,             0.78872,              0.3679,            0.041189,           0.0073144,           0.0023714,            0.003763,            0.003763,            0.003763
                  65,            0.031718,            0.010442,           0.0014657,             0.87079,             0.81477,             0.81854,             0.38372,            0.041107,           0.0071371,           0.0025185,            0.003664,            0.003664,            0.003664
                  66,            0.032226,            0.010292,           0.0013887,             0.84154,             0.80049,             0.81939,             0.40195,            0.041455,           0.0073455,           0.0024837,            0.003565,            0.003565,            0.003565
                  67,            0.030901,            0.010028,           0.0013958,             0.86421,             0.80098,              0.8372,             0.42264,            0.040416,           0.0070894,           0.0024054,            0.003466,            0.003466,            0.003466
                  68,            0.030449,            0.010391,           0.0010017,             0.84761,             0.76747,             0.80825,             0.38208,            0.041092,            0.007206,           0.0026495,            0.003367,            0.003367,            0.003367
                  69,            0.030959,            0.010035,           0.0012239,             0.84124,             0.78142,             0.79871,             0.41685,              0.0402,           0.0071964,           0.0024947,            0.003268,            0.003268,            0.003268
                  70,            0.031557,            0.010659,           0.0013494,             0.87055,             0.73845,             0.80091,             0.39028,            0.039594,           0.0075207,           0.0027043,            0.003169,            0.003169,            0.003169
                  71,             0.03051,            0.010491,           0.0011972,             0.78753,             0.78333,             0.79292,             0.39439,            0.040267,           0.0075957,           0.0022407,             0.00307,             0.00307,             0.00307
                  72,            0.031262,            0.010482,           0.0013467,             0.90075,             0.78642,             0.80798,             0.38253,            0.040049,           0.0076066,           0.0016764,            0.002971,            0.002971,            0.002971
                  73,            0.030184,            0.010451,           0.0013554,             0.85289,             0.74743,              0.7679,             0.40283,            0.040197,            0.007136,           0.0020745,            0.002872,            0.002872,            0.002872
                  74,            0.029812,           0.0098243,           0.0011511,             0.83177,              0.7924,             0.80658,             0.39599,            0.041604,           0.0074562,           0.0023946,            0.002773,            0.002773,            0.002773
                  75,            0.030222,            0.010536,          0.00088467,             0.81941,             0.74377,             0.77906,             0.42063,              0.0393,           0.0070952,           0.0020352,            0.002674,            0.002674,            0.002674
                  76,            0.028904,           0.0098715,           0.0011279,             0.85345,             0.76256,             0.79623,             0.40014,            0.039202,           0.0071322,           0.0023253,            0.002575,            0.002575,            0.002575
                  77,            0.029425,           0.0097591,          0.00090281,             0.85198,             0.78918,             0.81243,             0.40366,            0.038883,           0.0073728,           0.0022995,            0.002476,            0.002476,            0.002476
                  78,            0.029265,            0.010114,           0.0010679,             0.87608,             0.79706,             0.82905,             0.40301,            0.039485,           0.0073588,           0.0026651,            0.002377,            0.002377,            0.002377
                  79,            0.028365,           0.0096427,            0.001117,             0.84712,             0.76359,             0.80503,             0.41876,             0.03971,           0.0074086,           0.0024819,            0.002278,            0.002278,            0.002278
                  80,            0.029338,            0.010513,          0.00088832,               0.882,             0.79835,             0.82344,             0.40413,            0.039614,           0.0070358,           0.0023721,            0.002179,            0.002179,            0.002179
                  81,             0.02806,            0.009987,          0.00093779,             0.86591,             0.80953,             0.81428,             0.38796,            0.039803,           0.0070104,           0.0021894,             0.00208,             0.00208,             0.00208
                  82,            0.028281,            0.010044,           0.0012422,             0.83771,             0.75418,             0.77071,             0.39604,            0.040408,           0.0070812,           0.0019288,            0.001981,            0.001981,            0.001981
                  83,            0.028039,           0.0096636,          0.00091235,             0.87948,              0.7846,             0.79993,             0.38352,            0.039626,           0.0071717,           0.0021073,            0.001882,            0.001882,            0.001882
                  84,            0.027845,           0.0093292,          0.00075748,              0.8423,             0.79074,             0.82635,             0.40158,            0.040597,            0.007045,           0.0020614,            0.001783,            0.001783,            0.001783
                  85,             0.02801,            0.010273,          0.00096568,             0.85974,              0.8087,             0.83953,             0.41615,            0.039243,           0.0069945,           0.0020782,            0.001684,            0.001684,            0.001684
                  86,            0.027218,           0.0096737,          0.00074669,             0.82908,             0.77913,             0.80007,             0.40824,              0.0398,           0.0071104,           0.0022202,            0.001585,            0.001585,            0.001585
                  87,            0.027804,           0.0096394,          0.00065423,              0.8564,              0.7979,             0.82708,             0.42132,             0.03772,           0.0069872,           0.0022035,            0.001486,            0.001486,            0.001486
                  88,            0.027031,            0.010298,          0.00072223,             0.83096,             0.80251,             0.82704,             0.42934,            0.038506,           0.0069401,           0.0022114,            0.001387,            0.001387,            0.001387
                  89,             0.02721,           0.0095492,          0.00096296,             0.84596,             0.78362,             0.80308,             0.41872,            0.038657,           0.0069717,           0.0022766,            0.001288,            0.001288,            0.001288
                  90,            0.026163,           0.0095675,          0.00068236,             0.87605,             0.81844,             0.83771,             0.41483,            0.038349,           0.0070263,           0.0021739,            0.001189,            0.001189,            0.001189
                  91,            0.026879,           0.0098108,          0.00089815,             0.86172,             0.81486,              0.8397,             0.41647,            0.038315,           0.0070437,           0.0021395,             0.00109,             0.00109,             0.00109
                  92,            0.025557,           0.0093166,          0.00065134,              0.8607,             0.80285,             0.82582,             0.44443,            0.037657,           0.0070739,           0.0022409,            0.000991,            0.000991,            0.000991
                  93,            0.025897,           0.0093337,          0.00070578,             0.83162,             0.80075,              0.8106,             0.43539,            0.037957,           0.0071302,           0.0019989,            0.000892,            0.000892,            0.000892
                  94,            0.025367,           0.0092617,          0.00083401,             0.84694,             0.79969,             0.81009,               0.429,            0.038408,           0.0071425,           0.0019915,            0.000793,            0.000793,            0.000793
                  95,            0.026305,           0.0098846,          0.00061399,             0.86358,             0.81914,             0.82684,             0.43674,            0.038505,           0.0073231,           0.0022441,            0.000694,            0.000694,            0.000694
                  96,            0.025224,           0.0097364,           0.0010143,              0.8578,             0.78719,             0.81439,             0.41455,            0.038689,           0.0071738,           0.0020754,            0.000595,            0.000595,            0.000595
                  97,            0.024361,           0.0091379,          0.00056431,              0.8213,             0.79021,             0.80267,             0.40809,            0.039173,           0.0071579,           0.0019656,            0.000496,            0.000496,            0.000496
                  98,            0.024449,           0.0091333,          0.00058353,             0.81195,              0.8007,             0.80848,              0.4251,            0.038844,           0.0070894,           0.0020259,            0.000397,            0.000397,            0.000397
                  99,            0.024669,           0.0093515,          0.00051428,               0.843,             0.81505,             0.82702,             0.43562,            0.038099,           0.0070419,           0.0021578,            0.000298,            0.000298,            0.000298
